"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"973","Used Kia Sportage 1.6L LX (FWD) Topline Plus 2021","kia",2021,"48,000 KM","Automatic","Petrol","Blue","1600",1100000
"974","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"975","Used Kia Sportage 2017","kia",2017,"50,000 KM","Automatic","Petrol","White","1600",875000
"976","Used Kia Sportage 1.6L LX FWD 2022","kia",2022,"9,000 KM","Automatic","Petrol","Maroon","1600",1000000
"977","Used Kia Sportage 1.6L LX (FWD) 2022","kia",2022,"9,000 KM","Automatic","Petrol","Red","1600",950000
"978","Used Kia Cerato 2015","kia",2015,"120,000 KM","Automatic","Petrol","Red","1600",430000
"979","Used Kia Cerato 1.6L EX 2022","kia",2022,"52,000 KM","Automatic","Petrol","Gray","1600",670000
"980","Used Kia Sportage 2021","kia",2021,"87,000 KM","Automatic","Petrol","White","1600",775000
"981","Used Kia Forte 2009","kia",2009,"173,000 KM","Automatic","Petrol","Silver","1600",370000
"982","Used Kia Sportage 2019","kia",2019,"66,000 KM","Automatic","Petrol","White","N/A",750000
"983","New Kia Sportage 1.6L LX (FWD) Full Option Plus 2022","kia",2022,"17 KM","Automatic","Petrol","Bronze","1600",1200000
"984","Used Kia Sportage 2016","kia",2016,"90,000 KM","Automatic","Petrol","Black","N/A",540000
"985","Used Kia Soul 1.6L Base 2009","kia",2009,"87,000 KM","Automatic","Petrol","Gray","1591",305000
"986","Used Kia Carens 2015","kia",2015,"143,000 KM","Automatic","Petrol","Silver","1600",430000
"987","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"988","New Kia Cee'd 1.6L Top 2022","kia",2022,"0 KM","Automatic","Petrol","Blue","1600",850000
"989","Used Kia Cerato 2011","kia",2011,"80,000 KM","Automatic","Petrol","Black","1600",375000
"990","Used Kia Cerato 1.6L EX 2022","kia",2022,"42,000 KM","Automatic","Petrol","Gray","1600",620000
"991","Used Kia Soul 1.6L MPI A/T 2010","kia",2010,"199,000 KM","Automatic","Petrol","Other","1600",400000
"992","Used Kia Soul 1.6L Base 2018","kia",2018,"180,000 KM","Automatic","Petrol","White","1591",540000
"993","Used Kia Cerato 1.6L Top 2018","kia",2018,"130,000 KM","Automatic","Petrol","Gray","1591",385000
"994","Used Kia Picanto 2014","kia",2014,"4,475 KM","Automatic","Petrol","Red","1250",350000
"995","Used Kia Sephia 1999","kia",1999,"200,000 KM","Automatic","Petrol","Green","1600",85000
"996","Used Kia Carnival 2010","kia",2010,"168,000 KM","Automatic","Petrol","Black","N/A",350000
"997","Used Kia Soul 1.6L Top 2016","kia",2016,"51,000 KM","Automatic","Petrol","White","1591",465000
"998","Used Kia Shuma 1999","kia",1999,"20,000 KM","N/A","N/A","Blue","1300",55000
"999","Used Kia Carens 1.6L Top 2012","kia",2012,"200,000 KM","Automatic","Petrol","Gray","1591",280000
"1000","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
