"","X","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"478",478,"Asesores","T","America",0.026,2,0.1
"479",479,"Asesores","T","America",0.026,0,0
"480",480,"Asesores","T","America",0.04,0,0
"481",481,"Asesores","T","America",0.026,0,0
"482",482,"Asesores","T","America",0.04,0,0
"483",483,"Asesores","T","America",0.026,0,0
"484",484,"Asesores","T","America",0.026,0,0
"485",485,"Asesores","T","America",0.007,1,0
"486",486,"Asesores","T","America",0.026,0,0
"487",487,"Asesores","T","America",0.126,3,0.2
"488",488,"Asesores","T","America",0.239,56,0.31
"489",489,"Asesores","T","America",0.026,0,0
"490",490,"Asesores","T","America",0.026,0,0
"491",491,"Otros","T","America",0.026,30,0.1
"492",492,"Asesores","T","America",0.026,0,0
"493",493,"Asesores","T","America",0.126,70,0.32
"494",494,"Otros","T","America",0.026,25,0.1
"495",495,"Educacion","T","America",0.193,0,0
"496",496,"Asesores","T","America",0.158,86,0.39
"497",497,"Educacion","M","Europa",0.136,6,0.21
"498",498,"Asesores","M","America",0.063,0,0
"499",499,"Educacion","M","America",0.08,0,0.08
"500",500,"Educacion","M","Africa",0.496,341,3.05
"501",501,"Asesores","T","America",0.063,24,0.13
"502",502,"Asesores","T","America",0.063,26,0.13
"503",503,"Asesores","T","America",0.026,0,0
"504",504,"Asesores","T","America",0.063,8,0.13
"505",505,"Asesores","T","America",0.126,16,0.2
"506",506,"Asesores","T","America",0.063,0,0
"507",507,"Asesores","T","America",0.063,27,0.13
"508",508,"Asesores","T","America",0.04,42,0.11
"509",509,"Asesores","T","America",0.04,52,0.11
"510",510,"Educacion","T","America",0.177,158,0.6
"511",511,"Educacion","T","America",0.177,0,0
"512",512,"Otros","T","America",0.026,97,0.12
"513",513,"Otros","T","America",0.007,0,0
"514",514,"Asesores","T","America",0.026,0,0
"515",515,"Asesores","T","America",0.026,78,0.12
"516",516,"Asesores","T","America",0.026,0,0
"517",517,"Otros","T","America",0.007,80,0.05
"518",518,"Asesores","T","America",0.026,2,0.1
"519",519,"Otros","T","America",0.026,20,0.1
"520",520,"Otros","T","America",0.007,0,0
"521",521,"Asesores","T","America",0.026,0,0
"522",522,"Asesores","T","America",0.063,0,0
"523",523,"Asesores","T","America",0.026,857,0.46
"524",524,"Asesores","T","America",0.021,26,0.06
"525",525,"Asesores","T","America",0.126,0,0
"526",526,"Asesores","T","America",0.126,0,0
"527",527,"Asesores","T","America",0.007,0,0
"528",528,"Otros","T","America",0.026,42,0.1
"529",529,"Otros","T","America",0.007,0,0
